Delay time ms,Max Voltage (V)
0.02,10.8
0.12,9.6
0.22,8.18
0.32,7.28
0.42,6.4
0.52,5.36
0.62,4.48
0.72,3.6
0.82,2.8
0.92,2.08
1.02,1.2
1.12,1.12
1.22,1.5
1.32,2.12
1.42,2.64
1.52,3.1
1.62,3.76
1.72,4.24
1.82,4.64
1.92,5.04
2.02,5.36
2.12,5.72
2.22,6.08
2.32,6.4
2.42,6.64
2.52,6.88
2.62,7.12
2.72,7.4
2.82,7.64
2.92,7.84
3.02,7.96
3.12,8.18
3.22,8.32
3.32,8.48
3.42,8.66
3.52,8.76
3.62,8.88
3.72,9.04
3.82,9.12
3.92,9.2
4.02,9.28
4.12,9.44
4.22,9.52
4.32,9.6
4.42,9.68
4.52,9.68
4.62,9.76
4.72,9.8
4.82,9.84
4.92,9.92
5.02,10
5.12,10.1
