Delay Time,Max Voltage (
0.06,2.58
0.16,2.34
0.26,2.22
0.36,2.12
0.46,2.04
0.56,1.96
0.66,1.88
0.76,1.78
0.86,1.68
0.96,1.56
1.06,1.48
1.16,1.38
1.26,1.32
1.36,1.18
1.46,1.1
1.56,0.96
1.66,0.88
1.76,0.78
1.86,0.7
1.96,0.6
2.06,0.58
2.16,0.62
2.26,0.7
2.36,0.76
2.46,0.8
2.56,0.84
2.66,0.9
2.76,0.94
2.86,1.02
2.96,1.04
3.06,1.12
3.16,1.16
3.26,1.22
3.36,1.26
3.46,1.32
3.56,1.36
3.66,1.38
3.76,1.42
3.86,1.48
3.96,1.52
4.06,1.56
4.16,1.6
4.26,1.64
4.36,1.68
4.46,1.7
4.56,1.72
4.66,1.74
4.76,1.76
4.86,1.78
4.96,1.82
5.06,1.86
5.16,1.88
5.26,1.9
5.36,1.9
5.46,1.92
5.56,1.96
5.66,1.98
5.76,2
5.86,2.02
5.96,2.04
6.06,2.08
6.16,2.1
6.26,2.1
6.36,2.1
6.46,2.14
6.56,2.18
6.66,2.18
6.76,2.2
6.86,2.2
6.96,2.22
7.06,2.24
7.16,2.26
7.26,2.26
7.36,2.3
7.46,2.32
7.56,2.32
7.66,2.32
